Date,Article Sentiment,Impact Score
2016-12-05,0.141,71.0
2016-12-04,0.085,72.0
2016-12-03,-0.038,73.0
2016-12-02,0.068,70.0
2016-12-01,0.054,70.0
2016-11-30,-0.014,71.0
2016-11-29,0.069,71.0
2016-11-28,0.28,70.0
2016-11-27,0.137,70.0
2016-11-26,0.23,70.0
2016-11-25,0.089,72.0
2016-11-24,0.141,69.0
2016-11-23,0.145,71.0
2016-11-22,0.003,71.0
2016-11-21,0.181,70.0
2016-11-20,0.084,71.0
2016-11-19,0.152,71.0
2016-11-18,0.089,71.0
2016-11-17,0.058,71.0
2016-11-16,0.063,70.0
2016-11-15,0.03,70.0
2016-11-14,0.105,71.0
2016-11-13,0.137,69.0
2016-11-12,0.096,71.0
2016-11-11,0.121,71.0
2016-11-10,0.091,71.0
2016-11-09,0.059,71.0
2016-11-08,0.085,71.0
2016-11-07,0.098,72.0
2016-11-06,0.102,72.0
2016-11-05,0.103,72.0
2016-11-04,0.17,71.0
2016-11-03,0.203,71.0
2016-11-02,0.134,71.0
2016-11-01,0.14,71.0
2016-10-31,0.124,71.0
2016-10-30,0.157,71.0
2016-10-29,0.119,71.0
2016-10-28,0.074,71.0
2016-10-27,-0.022,72.0
2016-10-26,-0.012,72.0
2016-10-25,0.138,72.0
2016-10-24,0.046,72.0
2016-10-23,0.132,71.0
2016-10-22,0.002,72.0
2016-10-21,-0.061,73.0
2016-10-20,0.013,71.0
2016-10-19,0.18,71.0
2016-10-18,0.064,71.0
2016-10-17,0.033,70.0
2016-10-16,0.106,71.0
2016-10-15,0.056,71.0
2016-10-14,0.037,72.0
2016-10-13,0.03,70.0
2016-10-12,0.079,71.0
2016-10-11,0.05,72.0
2016-10-10,0.038,71.0
2016-10-09,0.16,71.0
2016-10-08,0.124,71.0
2016-10-07,0.084,71.0
2016-10-06,0.006,71.0
2016-10-05,-0.048,70.0
2016-10-04,0.067,70.0
2016-10-03,0.061,70.0
2016-10-02,0.084,70.0
2016-10-01,0.066,71.0
2016-09-30,0.162,71.0
2016-09-29,0.145,71.0
2016-09-28,0.006,71.0
2016-09-27,0.122,71.0
2016-09-26,0.102,71.0
2016-09-25,0.112,71.0
2016-09-24,0.057,71.0
2016-09-23,0.059,72.0
2016-09-22,0.082,72.0
2016-09-21,0.173,72.0
2016-09-20,0.138,71.0
2016-09-19,0.092,72.0
2016-09-18,0.114,71.0
2016-09-17,0.054,71.0
2016-09-16,0.039,71.0
2016-09-15,0.041,71.0
2016-09-14,0.129,71.0
2016-09-13,0.107,71.0
2016-09-12,0.088,69.0
2016-09-11,-0.013,71.0
2016-09-10,0.017,71.0
2016-09-09,0.1,70.0
2016-09-08,0.102,70.0
2016-09-07,0.158,70.0
2016-09-06,0.071,71.0
2016-09-05,0.12,71.0
2016-09-04,0.147,71.0
2016-09-03,0.102,71.0
2016-09-02,0.054,71.0
2016-09-01,0.051,70.0
2016-08-31,0.014,68.0
2016-08-30,0.014,70.0
2016-08-29,-0.014,71.0
2016-08-28,0.076,71.0
2016-08-27,-0.007,71.0
2016-08-26,0.057,71.0
2016-08-25,0.106,71.0
2016-08-24,0.179,71.0
2016-08-23,0.194,71.0
2016-08-22,0.112,70.0
2016-08-21,0.091,71.0
2016-08-20,0.019,70.0
2016-08-19,0.04,71.0
2016-08-18,0.061,71.0
2016-08-17,0.173,71.0
2016-08-16,0.202,71.0
2016-08-15,0.103,71.0
2016-08-14,0.159,71.0
2016-08-13,0.092,71.0
2016-08-12,0.144,71.0
2016-08-11,0.038,71.0
2016-08-10,0.096,71.0
2016-08-09,0.07,71.0
2016-08-08,0.091,71.0
2016-08-07,0.126,71.0
2016-08-06,0.106,71.0
2016-08-05,0.117,71.0
2016-08-04,0.024,72.0
2016-08-03,0.047,70.0
2016-08-02,0.074,71.0
2016-08-01,0.077,71.0
2016-07-31,0.093,70.0
2016-07-30,0.12,72.0
2016-07-29,0.114,73.0
2016-07-28,0.106,74.0
2016-07-27,0.07,73.0
2016-07-26,0.063,72.0
2016-07-25,0.029,71.0
2016-07-24,0.053,70.0
2016-07-23,-0.012,71.0
2016-07-22,-0.029,71.0
2016-07-21,0.005,71.0
2016-07-20,0.05,70.0
2016-07-19,0.093,71.0
2016-07-18,0.097,71.0
2016-07-17,0.133,70.0
2016-07-16,0.093,71.0
2016-07-15,0.164,70.0
2016-07-14,0.104,71.0
2016-07-13,0.052,71.0
2016-07-12,0.08,71.0
2016-07-11,0.099,71.0
2016-07-10,-0.009,71.0
2016-07-09,-0.102,70.0
2016-07-08,0.064,71.0
2016-07-07,0.117,70.0
2016-07-06,0.165,70.0
2016-07-05,-0.002,70.0
2016-07-04,-0.053,70.0
2016-07-03,-0.108,70.0
2016-07-02,0.041,71.0
2016-07-01,0.1,71.0
2016-06-30,0.083,71.0
2016-06-29,0.019,71.0
2016-06-28,-0.054,70.0
2016-06-27,-0.077,71.0
2016-06-26,0.056,71.0
2016-06-25,0.049,70.0
2016-06-24,0.07,71.0
2016-06-23,0.014,70.0
2016-06-22,0.023,70.0
2016-06-21,0.031,70.0
2016-06-20,0.064,71.0
2016-06-19,0.056,71.0
2016-06-18,0.053,71.0
2016-06-17,0.087,70.0
2016-06-16,0.103,71.0
2016-06-15,0.099,71.0
2016-06-14,0.094,71.0
2016-06-13,0.021,71.0
2016-06-12,0.045,70.0
2016-06-11,0.09,71.0
2016-06-10,0.183,71.0
2016-06-09,0.093,71.0
2016-06-08,0.085,71.0
2016-06-07,0.013,72.0
2016-06-06,0.062,72.0
2016-06-05,0.03,70.0
2016-06-04,-0.016,71.0
2016-06-03,0.0,71.0
2016-06-02,-0.008,71.0
2016-06-01,-0.088,70.0
2016-05-31,0.011,71.0
2016-05-30,0.068,71.0
2016-05-29,0.048,71.0
2016-05-28,0.12,71.0
2016-05-27,0.174,71.0
2016-05-26,0.064,71.0
2016-05-25,0.157,71.0
2016-05-24,0.125,71.0
2016-05-23,-0.062,70.0
2016-05-22,0.193,70.0
2016-05-21,0.079,70.0
2016-05-20,0.089,71.0
2016-05-19,0.15,71.0
2016-05-18,0.114,73.0
2016-05-17,0.06,73.0
2016-05-16,0.045,74.0
2016-05-15,0.098,77.0
2016-05-14,0.044,80.0
2016-05-13,-0.006,73.0
2016-05-12,0.038,71.0
2016-05-11,0.015,70.0
2016-05-10,0.152,71.0
2016-05-09,0.105,70.0
2016-05-08,0.266,69.0
2016-05-07,0.141,71.0
2016-05-06,0.051,71.0
2016-05-05,-0.067,71.0
2016-05-04,-0.027,72.0
2016-05-03,0.055,71.0
2016-05-02,-0.024,72.0
2016-05-01,0.04,72.0
