Date,Article Sentiment,Impact Score
2016-12-12,0.07,72.0
2016-12-11,0.142,71.0
2016-12-10,0.094,72.0
2016-12-09,0.114,71.0
2016-12-08,0.076,72.0
2016-12-07,0.084,72.0
2016-12-06,0.084,71.0
2016-12-05,0.2,71.0
2016-12-04,0.137,72.0
2016-12-03,0.175,71.0
2016-12-02,0.17,71.0
2016-12-01,0.173,72.0
2016-11-30,0.133,72.0
2016-11-29,0.204,70.0
2016-11-28,0.162,70.0
2016-11-27,0.156,69.0
2016-11-26,0.207,69.0
2016-11-25,0.095,71.0
2016-11-24,-0.056,73.0
2016-11-23,-0.018,74.0
2016-11-22,0.152,71.0
2016-11-21,0.224,70.0
2016-11-20,0.204,71.0
2016-11-19,0.17,71.0
2016-11-18,0.126,72.0
2016-11-17,0.107,70.0
2016-11-16,0.097,71.0
2016-11-15,0.08,71.0
2016-11-14,0.142,70.0
2016-11-13,0.149,70.0
2016-11-12,0.128,70.0
2016-11-11,0.079,70.0
2016-11-10,0.142,71.0
2016-11-09,0.154,72.0
2016-11-08,0.09,73.0
2016-11-07,0.139,71.0
2016-11-06,0.171,71.0
2016-11-05,0.227,71.0
2016-11-04,0.221,73.0
2016-11-03,0.144,72.0
2016-11-02,0.153,71.0
2016-11-01,0.147,73.0
2016-10-31,0.153,74.0
2016-10-30,0.004,74.0
2016-10-29,-0.02,75.0
2016-10-28,-0.027,75.0
2016-10-27,0.172,72.0
2016-10-26,0.191,71.0
2016-10-25,0.179,72.0
2016-10-24,0.15,72.0
2016-10-23,0.062,73.0
2016-10-22,-0.032,75.0
2016-10-21,-0.083,73.0
2016-10-20,0.115,73.0
2016-10-19,0.177,72.0
2016-10-18,0.137,72.0
2016-10-17,0.202,73.0
2016-10-16,0.156,74.0
2016-10-15,0.107,74.0
2016-10-14,0.114,73.0
2016-10-13,0.028,70.0
2016-10-12,0.092,72.0
2016-10-11,0.175,71.0
2016-10-10,0.139,73.0
2016-10-09,0.122,72.0
2016-10-08,0.155,72.0
2016-10-07,0.197,72.0
2016-10-06,0.133,72.0
2016-10-05,0.103,72.0
2016-10-04,0.17,72.0
2016-10-03,0.158,72.0
2016-10-02,0.213,72.0
2016-10-01,0.144,72.0
2016-09-30,0.039,74.0
2016-09-29,0.11,73.0
2016-09-28,0.175,72.0
2016-09-27,0.189,74.0
2016-09-26,0.089,71.0
2016-09-25,0.004,70.0
2016-09-24,-0.054,71.0
2016-09-23,-0.005,71.0
2016-09-22,0.1,72.0
2016-09-21,0.11,72.0
2016-09-20,0.116,73.0
2016-09-19,0.159,71.0
2016-09-18,0.122,71.0
2016-09-17,0.132,73.0
2016-09-16,0.097,72.0
2016-09-15,0.114,71.0
2016-09-14,0.193,72.0
2016-09-13,0.132,70.0
2016-09-12,0.133,71.0
2016-09-11,0.15,72.0
2016-09-10,0.101,71.0
2016-09-09,0.03,71.0
2016-09-08,0.036,72.0
2016-09-07,0.046,73.0
2016-09-06,0.132,71.0
2016-09-05,0.115,71.0
2016-09-04,-0.023,72.0
2016-09-03,0.094,72.0
2016-09-02,0.11,71.0
2016-09-01,0.102,72.0
2016-08-31,0.129,73.0
2016-08-30,0.222,70.0
2016-08-29,0.083,72.0
2016-08-28,0.058,71.0
2016-08-27,0.125,72.0
2016-08-26,0.068,72.0
2016-08-25,0.095,72.0
2016-08-24,0.06,72.0
2016-08-23,0.167,72.0
2016-08-22,0.178,72.0
2016-08-21,0.162,70.0
2016-08-20,0.138,72.0
2016-08-19,0.108,72.0
2016-08-18,0.198,72.0
2016-08-17,0.18,71.0
2016-08-16,0.145,72.0
2016-08-15,0.151,70.0
2016-08-14,0.112,70.0
2016-08-13,0.096,71.0
2016-08-12,0.119,73.0
2016-08-11,0.055,74.0
2016-08-10,0.134,73.0
2016-08-09,0.026,74.0
2016-08-08,-0.089,70.0
2016-08-07,0.183,74.0
2016-08-06,0.131,73.0
2016-08-05,0.118,73.0
2016-08-04,0.144,73.0
2016-08-03,0.136,73.0
2016-08-02,0.149,74.0
2016-08-01,0.158,73.0
2016-07-31,0.163,73.0
2016-07-30,0.203,74.0
2016-07-29,0.259,71.0
2016-07-28,0.201,72.0
2016-07-27,0.169,74.0
2016-07-26,0.193,73.0
2016-07-25,0.1,71.0
2016-07-24,0.169,72.0
2016-07-23,0.133,73.0
2016-07-22,0.142,73.0
2016-07-21,0.142,72.0
2016-07-20,0.124,73.0
2016-07-19,0.094,72.0
2016-07-18,0.069,72.0
2016-07-17,0.032,73.0
2016-07-16,0.165,71.0
2016-07-15,0.177,73.0
2016-07-14,0.248,71.0
2016-07-13,0.313,69.0
2016-07-12,0.2,71.0
2016-07-11,0.236,71.0
2016-07-10,0.134,70.0
2016-07-09,0.184,71.0
2016-07-08,0.14,73.0
2016-07-07,0.183,72.0
2016-07-06,0.21,70.0
2016-07-05,0.261,71.0
2016-07-04,0.204,71.0
2016-07-03,0.475,74.0
2016-07-02,0.185,71.0
2016-07-01,0.215,71.0
2016-06-30,0.067,72.0
2016-06-29,0.191,72.0
2016-06-28,0.195,73.0
2016-06-27,0.096,74.0
2016-06-26,0.19,71.0
2016-06-25,0.157,72.0
2016-06-24,0.172,73.0
2016-06-23,0.12,72.0
2016-06-22,0.143,73.0
2016-06-21,0.182,73.0
2016-06-20,0.143,72.0
2016-06-19,0.146,71.0
2016-06-18,0.177,72.0
2016-06-17,0.188,72.0
2016-06-16,0.135,71.0
2016-06-15,0.122,71.0
2016-06-14,0.077,70.0
2016-06-13,0.302,70.0
2016-06-12,0.139,70.0
2016-06-11,0.143,73.0
2016-06-10,0.165,74.0
2016-06-09,0.08,74.0
2016-06-08,0.088,72.0
2016-06-07,0.027,73.0
2016-06-06,0.025,73.0
2016-06-05,0.082,72.0
2016-06-04,0.094,73.0
2016-06-03,0.064,72.0
2016-06-02,0.103,73.0
2016-06-01,-0.088,72.0
2016-05-31,0.13,73.0
2016-05-30,0.182,72.0
2016-05-29,0.31,74.0
2016-05-28,0.171,73.0
2016-05-27,0.184,72.0
2016-05-26,0.173,72.0
2016-05-25,0.12,73.0
2016-05-24,0.124,73.0
2016-05-23,0.122,72.0
2016-05-22,0.115,72.0
2016-05-21,0.181,73.0
2016-05-20,0.186,72.0
2016-05-19,0.18,71.0
2016-05-18,0.12,70.0
2016-05-17,0.064,74.0
2016-05-16,0.062,74.0
2016-05-15,0.134,73.0
2016-05-14,0.07,75.0
2016-05-13,0.04,74.0
2016-05-12,0.104,73.0
2016-05-11,0.095,72.0
2016-05-10,0.207,72.0
2016-05-09,0.159,71.0
2016-05-08,0.12,74.0
2016-05-07,0.18,71.0
2016-05-06,0.157,72.0
2016-05-05,0.157,73.0
2016-05-04,0.188,72.0
2016-05-03,0.179,72.0
2016-05-02,0.124,72.0
2016-05-01,0.205,72.0
2016-04-30,0.326,75.0
2016-04-29,0.187,74.0
2016-04-28,0.035,73.0
2016-04-27,0.108,73.0
2016-04-26,0.155,73.0
2016-04-25,0.159,71.0
2016-04-24,0.236,70.0
2016-04-23,0.175,71.0
2016-04-22,0.211,72.0
2016-04-21,0.166,72.0
2016-04-20,0.111,72.0
2016-04-19,0.131,72.0
2016-04-18,0.203,71.0
2016-04-17,0.104,72.0
2016-04-16,0.135,72.0
2016-04-15,0.139,76.0
2016-04-14,0.125,72.0
2016-04-13,0.137,72.0
2016-04-12,0.161,74.0
2016-04-11,0.097,71.0
2016-04-10,0.124,70.0
2016-04-09,0.193,74.0
2016-04-08,0.145,72.0
2016-04-07,0.139,67.0
2016-04-06,0.142,68.0
2016-04-05,0.145,73.0
2016-04-04,0.148,72.0
2016-04-03,0.107,72.0
2016-04-02,0.141,72.0
2016-04-01,0.161,72.0
2016-03-31,0.156,71.0
2016-03-30,0.118,72.0
2016-03-29,0.106,71.0
2016-03-28,0.221,70.0
2016-03-27,0.176,71.0
2016-03-26,0.183,72.0
2016-03-25,0.071,73.0
2016-03-24,-0.019,74.0
2016-03-23,0.084,72.0
2016-03-22,0.124,73.0
2016-03-21,0.168,72.0
2016-03-20,0.181,74.0
2016-03-19,0.087,74.0
2016-03-18,0.116,73.0
2016-03-17,0.256,74.0
2016-03-16,0.265,76.0
2016-03-15,0.203,73.0
2016-03-14,0.18,70.0
2016-03-13,0.122,71.0
2016-03-12,0.054,72.0
2016-03-11,0.133,72.0
2016-03-10,0.149,71.0
2016-03-09,0.111,73.0
2016-03-08,0.047,71.0
2016-03-07,-0.021,71.0
2016-03-06,-0.017,70.0
2016-03-05,-0.011,70.0
