Date,Article Sentiment,Impact Score
2016-12-12,-0.022,71.0
2016-12-11,0.085,70.0
2016-12-10,0.005,70.0
2016-12-09,0.125,70.0
2016-12-08,-0.038,71.0
2016-12-07,0.053,71.0
2016-12-06,-0.008,72.0
2016-12-05,0.099,71.0
2016-12-04,0.001,72.0
2016-12-03,-0.01,71.0
2016-12-02,0.052,71.0
2016-12-01,0.008,71.0
2016-11-30,-0.028,70.0
2016-11-29,-0.04,71.0
2016-11-28,-0.022,72.0
2016-11-27,-0.007,72.0
2016-11-26,-0.035,71.0
2016-11-25,0.037,71.0
2016-11-24,0.067,71.0
2016-11-23,-0.006,70.0
2016-11-22,0.049,71.0
2016-11-21,-0.094,70.0
2016-11-20,-0.104,71.0
2016-11-19,-0.028,72.0
2016-11-18,0.031,71.0
2016-11-17,-0.103,71.0
2016-11-16,-0.148,70.0
2016-11-15,-0.026,70.0
2016-11-14,0.04,70.0
2016-11-13,0.034,70.0
2016-11-12,0.096,70.0
2016-11-11,0.093,71.0
2016-11-10,0.071,71.0
2016-11-09,0.019,71.0
2016-11-08,0.073,71.0
2016-11-07,0.12,71.0
2016-11-06,-0.052,72.0
2016-11-05,0.034,73.0
2016-11-04,0.058,73.0
2016-11-03,0.114,73.0
2016-11-02,0.05,72.0
2016-11-01,0.05,71.0
2016-10-31,0.043,70.0
2016-10-30,0.048,71.0
2016-10-29,-0.024,70.0
2016-10-28,0.058,71.0
2016-10-27,0.071,71.0
2016-10-26,0.119,71.0
2016-10-25,0.001,70.0
2016-10-24,0.083,71.0
2016-10-23,-0.011,72.0
2016-10-22,0.048,72.0
2016-10-21,0.084,70.0
2016-10-20,0.082,71.0
2016-10-19,0.014,71.0
2016-10-18,0.055,71.0
2016-10-17,0.064,71.0
2016-10-16,0.057,72.0
2016-10-15,0.062,71.0
2016-10-14,0.057,70.0
2016-10-13,0.027,70.0
2016-10-12,0.046,70.0
2016-10-11,0.119,70.0
2016-10-10,0.124,70.0
2016-10-09,0.015,70.0
2016-10-08,0.046,71.0
2016-10-07,0.038,70.0
2016-10-06,0.009,71.0
2016-10-05,-0.018,70.0
2016-10-04,0.021,70.0
2016-10-03,-0.003,69.0
2016-10-02,-0.072,71.0
2016-10-01,0.0,70.0
2016-09-30,0.018,72.0
2016-09-29,-0.046,71.0
2016-09-28,-0.017,71.0
2016-09-27,0.068,72.0
2016-09-26,0.0,70.0
2016-09-25,-0.097,71.0
2016-09-24,0.006,71.0
2016-09-23,0.069,70.0
2016-09-22,0.067,71.0
2016-09-21,0.011,71.0
2016-09-20,0.017,71.0
2016-09-19,0.083,71.0
2016-09-18,0.008,70.0
2016-09-17,-0.033,70.0
2016-09-16,-0.032,70.0
2016-09-15,0.002,70.0
2016-09-14,0.054,70.0
2016-09-13,0.035,71.0
2016-09-12,0.028,70.0
2016-09-11,0.004,70.0
2016-09-10,-0.01,71.0
2016-09-09,0.036,71.0
2016-09-08,0.033,71.0
2016-09-07,0.01,72.0
2016-09-06,-0.011,71.0
2016-09-05,0.066,72.0
2016-09-04,0.082,72.0
2016-09-03,-0.052,71.0
2016-09-02,-0.047,71.0
2016-09-01,0.044,71.0
2016-08-31,-0.024,70.0
2016-08-30,-0.001,70.0
2016-08-29,-0.061,70.0
2016-08-28,0.035,71.0
2016-08-27,0.012,71.0
2016-08-26,0.018,71.0
2016-08-25,-0.038,70.0
2016-08-24,0.055,71.0
2016-08-23,0.062,71.0
2016-08-22,0.025,70.0
2016-08-21,-0.012,71.0
2016-08-20,-0.003,70.0
2016-08-19,-0.005,71.0
2016-08-18,0.019,71.0
2016-08-17,0.034,71.0
2016-08-16,0.093,72.0
2016-08-15,-0.082,71.0
2016-08-14,-0.048,71.0
2016-08-13,-0.015,71.0
2016-08-12,0.1,70.0
2016-08-11,0.035,71.0
2016-08-10,0.047,71.0
2016-08-09,-0.044,70.0
2016-08-08,0.0,70.0
2016-08-07,0.107,72.0
2016-08-06,0.03,71.0
2016-08-05,0.156,70.0
2016-08-04,0.064,70.0
2016-08-03,0.049,73.0
2016-08-02,0.029,72.0
2016-08-01,0.12,72.0
2016-07-31,0.036,72.0
2016-07-30,0.071,72.0
2016-07-29,0.149,72.0
2016-07-28,0.2,72.0
2016-07-27,0.004,70.0
2016-07-26,0.021,72.0
2016-07-25,0.044,72.0
2016-07-24,-0.059,71.0
2016-07-23,0.068,72.0
2016-07-22,0.054,71.0
2016-07-21,0.065,71.0
2016-07-20,0.055,71.0
2016-07-19,0.056,70.0
2016-07-18,0.074,70.0
2016-07-17,0.161,70.0
2016-07-16,0.114,70.0
2016-07-15,0.063,72.0
2016-07-14,0.107,71.0
2016-07-13,-0.058,71.0
2016-07-12,-0.079,70.0
2016-07-11,-0.042,70.0
2016-07-10,-0.004,72.0
2016-07-09,0.106,71.0
2016-07-08,-0.017,70.0
2016-07-07,-0.112,71.0
2016-07-06,-0.002,72.0
2016-07-05,-0.026,71.0
2016-07-04,-0.025,70.0
2016-07-03,0.088,71.0
2016-07-02,0.001,72.0
2016-07-01,0.054,71.0
2016-06-30,0.003,70.0
2016-06-29,0.032,70.0
2016-06-28,0.077,71.0
2016-06-27,0.074,71.0
2016-06-26,0.114,72.0
2016-06-25,0.078,72.0
2016-06-24,0.077,71.0
2016-06-23,0.113,70.0
2016-06-22,-0.08,72.0
2016-06-21,-0.051,71.0
2016-06-20,-0.089,71.0
2016-06-19,-0.013,73.0
2016-06-18,0.05,70.0
2016-06-17,0.025,70.0
2016-06-16,-0.051,70.0
2016-06-15,-0.042,71.0
2016-06-14,0.02,71.0
2016-06-13,0.007,70.0
2016-06-12,0.038,71.0
2016-06-11,-0.035,71.0
2016-06-10,0.111,72.0
2016-06-09,0.055,72.0
2016-06-08,-0.012,71.0
2016-06-07,0.041,71.0
2016-06-06,0.033,71.0
2016-06-05,-0.024,70.0
2016-06-04,-0.029,71.0
2016-06-03,0.023,71.0
2016-06-02,-0.026,70.0
2016-06-01,-0.017,70.0
2016-05-31,-0.038,71.0
2016-05-30,-0.026,71.0
2016-05-29,0.029,71.0
2016-05-28,-0.041,68.0
2016-05-27,0.031,69.0
2016-05-26,-0.018,72.0
2016-05-25,-0.071,72.0
2016-05-24,-0.052,72.0
2016-05-23,0.121,71.0
2016-05-22,0.074,71.0
2016-05-21,-0.03,70.0
2016-05-20,0.066,72.0
2016-05-19,0.0,71.0
2016-05-18,0.015,71.0
2016-05-17,0.013,71.0
2016-05-16,-0.073,70.0
2016-05-15,-0.027,70.0
2016-05-14,-0.115,71.0
2016-05-13,-0.058,71.0
2016-05-12,-0.094,70.0
2016-05-11,-0.117,71.0
2016-05-10,0.109,71.0
2016-05-09,0.028,71.0
2016-05-08,-0.005,70.0
2016-05-07,-0.038,70.0
2016-05-06,0.03,71.0
2016-05-05,-0.03,73.0
2016-05-04,0.089,72.0
2016-05-03,0.029,72.0
2016-05-02,-0.006,72.0
2016-05-01,0.003,72.0
2016-04-30,0.117,72.0
2016-04-29,0.198,74.0
2016-04-28,0.125,73.0
2016-04-27,0.044,71.0
2016-04-26,0.09,72.0
2016-04-25,0.109,73.0
2016-04-24,-0.032,72.0
2016-04-23,0.006,72.0
2016-04-22,-0.001,72.0
2016-04-21,0.046,72.0
2016-04-20,0.07,72.0
2016-04-19,0.166,72.0
2016-04-18,0.172,71.0
2016-04-17,0.044,71.0
2016-04-16,0.047,71.0
2016-04-15,0.073,71.0
2016-04-14,0.064,71.0
2016-04-13,0.004,71.0
2016-04-12,-0.039,71.0
2016-04-11,0.131,71.0
2016-04-10,0.07,72.0
2016-04-09,0.055,72.0
2016-04-08,0.032,71.0
2016-04-07,-0.008,70.0
2016-04-06,0.047,71.0
2016-04-05,-0.079,71.0
2016-04-04,-0.011,69.0
2016-04-03,0.033,72.0
2016-04-02,0.068,71.0
2016-04-01,-0.039,71.0
2016-03-31,0.056,71.0
2016-03-30,-0.005,71.0
2016-03-29,-0.04,71.0
2016-03-28,-0.04,71.0
