Date,Article Sentiment,Impact Score
2016-12-12,0.192,71.0
2016-12-11,0.41,75.0
2016-12-10,0.192,77.0
2016-12-09,0.325,76.0
2016-12-08,0.276,72.0
2016-12-07,0.227,76.0
2016-12-06,0.25,72.0
2016-12-05,0.136,75.0
2016-12-04,0.194,75.0
2016-12-03,0.215,73.0
2016-12-02,0.218,74.0
2016-12-01,0.331,77.0
2016-11-30,0.269,76.0
2016-11-29,0.101,80.0
2016-11-28,0.195,71.0
2016-11-27,0.0,82.0
2016-11-26,0.181,76.0
2016-11-25,0.079,74.0
2016-11-24,0.354,76.0
2016-11-23,0.387,74.0
2016-11-22,0.239,85.0
2016-11-21,-0.043,78.0
2016-11-20,0.089,65.0
2016-11-19,0.193,77.0
2016-11-18,0.297,72.0
2016-11-17,0.235,72.0
2016-11-16,0.276,72.0
2016-11-15,0.465,61.0
2016-11-14,0.353,65.0
2016-11-13,0.228,47.0
2016-11-12,0.369,51.0
2016-11-11,0.219,75.0
2016-11-10,0.214,77.0
2016-11-09,0.164,76.0
2016-11-08,0.223,72.0
2016-11-07,0.337,75.0
2016-11-06,0.303,72.0
2016-11-05,0.139,71.0
2016-11-04,0.362,78.0
2016-11-03,0.176,74.0
2016-11-02,0.113,75.0
2016-11-01,0.071,75.0
2016-10-31,0.218,75.0
2016-10-30,0.238,78.0
2016-10-29,0.215,80.0
2016-10-28,0.039,87.0
2016-10-27,0.081,84.0
2016-10-26,0.295,75.0
2016-10-25,0.317,72.0
2016-10-24,0.045,75.0
2016-10-23,0.231,72.0
2016-10-22,0.038,79.0
2016-10-21,0.23,75.0
2016-10-20,0.355,80.0
2016-10-19,0.468,78.0
2016-10-18,0.328,80.0
2016-10-17,0.442,74.0
2016-10-16,0.0,71.0
2016-10-14,0.377,73.0
2016-10-13,0.337,73.0
2016-10-12,0.227,74.0
2016-10-11,0.388,75.0
2016-10-10,0.141,77.0
2016-10-09,0.323,84.0
2016-10-08,0.288,73.0
2016-10-07,0.254,77.0
2016-10-06,0.235,75.0
2016-10-05,0.068,77.0
2016-10-04,0.432,71.0
2016-10-02,0.182,68.0
2016-10-01,0.238,79.0
2016-09-30,0.303,74.0
2016-09-29,0.36,73.0
2016-09-28,0.284,79.0
2016-09-27,0.154,77.0
2016-09-26,0.22,87.0
2016-09-25,0.239,71.0
2016-09-24,0.393,71.0
2016-09-23,0.197,71.0
2016-09-22,0.26,73.0
2016-09-21,0.136,72.0
2016-09-20,0.178,82.0
2016-09-19,0.351,81.0
2016-09-18,0.097,80.0
2016-09-17,0.386,75.0
2016-09-16,0.309,72.0
2016-09-15,0.267,77.0
2016-09-14,-0.097,84.0
2016-09-13,0.093,80.0
2016-09-12,0.439,89.0
2016-09-11,0.378,84.0
2016-09-10,0.235,64.0
2016-09-09,0.181,68.0
2016-09-08,0.398,73.0
2016-09-07,0.107,60.0
2016-09-06,0.241,71.0
2016-09-05,0.244,71.0
2016-09-04,0.155,76.0
