Date,Article Sentiment,Impact Score
2016-12-11,0.56,0.0
2016-12-10,-0.39,0.0
2016-12-09,0.137,40.0
2016-12-08,0.31,0.0
2016-12-07,0.088,0.0
2016-12-06,0.022,80.0
2016-11-26,0.0,0.0
2016-11-21,0.0,0.0
2016-11-20,-0.103,85.0
2016-11-15,0.041,85.0
2016-11-12,0.121,0.0
2016-11-10,0.0,0.0
2016-11-09,0.31,85.0
2016-11-08,0.541,85.0
2016-11-05,0.172,83.0
2016-11-04,0.208,73.0
2016-11-03,0.31,0.0
2016-11-01,0.31,42.0
2016-10-28,0.31,85.0
2016-10-27,0.0,50.0
2016-10-21,0.0,0.0
2016-10-19,0.0,0.0
2016-10-18,0.0,0.0
2016-10-15,-0.03,43.0
2016-10-14,-0.023,35.0
2016-10-13,0.162,70.0
2016-10-12,0.0,85.0
2016-10-11,-0.175,42.0
2016-10-09,0.502,0.0
2016-10-07,0.435,85.0
2016-09-29,0.0,0.0
2016-09-28,0.0,0.0
2016-09-24,0.0,42.0
2016-09-16,-0.29,0.0
2016-09-10,0.685,0.0
2016-09-09,-0.115,0.0
2016-09-07,0.446,0.0
2016-09-06,0.253,0.0
2016-09-03,0.291,20.0
2016-09-01,0.31,0.0
2016-08-31,0.31,0.0
2016-08-30,0.0,0.0
2016-08-27,0.0,0.0
2016-08-21,0.0,0.0
2016-08-20,0.56,0.0
2016-08-17,0.0,50.0
2016-08-12,-0.115,85.0
2016-08-10,0.56,0.0
2016-08-09,0.448,85.0
2016-08-08,0.0,85.0
2016-08-06,-0.016,85.0
2016-08-05,0.28,85.0
2016-07-31,-0.103,85.0
2016-07-24,0.63,85.0
2016-07-23,0.144,85.0
2016-07-21,0.63,85.0
2016-07-20,0.0,0.0
2016-07-13,0.56,0.0
2016-07-12,0.56,0.0
2016-07-06,0.31,0.0
2016-06-27,-0.203,0.0
2016-06-25,0.0,0.0
2016-06-16,-0.623,0.0
2016-06-11,0.0,0.0
2016-06-05,0.335,0.0
2016-06-03,-0.217,0.0
2016-06-01,0.31,0.0
2016-05-26,0.0,0.0
2016-05-23,0.0,0.0
2016-05-22,0.56,85.0
2016-05-21,0.35,42.0
2016-05-20,0.0,82.0
2016-05-19,0.56,85.0
2016-05-17,0.0,0.0
2016-05-15,0.041,85.0
2016-05-10,-0.109,42.0
2016-05-08,0.28,85.0
2016-05-07,0.45,85.0
2016-05-06,0.383,52.0
2016-05-05,0.198,20.0
2016-05-01,0.26,85.0
2016-04-30,0.0,0.0
2016-04-29,0.155,21.0
2016-04-27,0.0,0.0
2016-04-26,-0.135,0.0
2016-04-19,-0.378,0.0
2016-04-13,0.0,0.0
2016-04-10,0.0,0.0
2016-04-08,0.0,0.0
2014-08-26,1.0,100.0
2014-08-22,1.0,83.0
2014-08-20,0.0,80.0
2014-08-14,0.0,100.0
2014-08-09,0.0,81.0
2014-08-08,1.0,90.0
2014-08-07,0.0,85.0
2014-07-25,0.0,78.0
2014-07-24,0.0,78.0
2014-07-20,1.0,66.0
2014-06-26,1.0,78.0
2014-06-18,0.0,50.0
2014-05-30,1.0,78.0
2014-05-27,-1.0,78.0
2014-05-22,0.0,100.0
2014-05-21,0.0,100.0
2014-05-20,0.0,78.0
2014-05-15,0.0,78.0
2014-05-11,1.0,78.0
2014-05-10,0.5,85.0
2014-05-09,0.0,82.5
2014-05-01,-1.0,66.0
2014-04-25,0.0,78.0
2014-03-19,0.0,80.0
2014-03-04,1.0,66.0
2014-03-02,1.0,85.0
2014-03-01,-1.0,90.0
2014-02-28,1.0,90.0
2014-02-27,0.0,85.0
2014-01-30,0.0,78.0
2013-12-19,0.0,100.0
2013-11-29,0.0,80.0
2013-11-27,0.0,78.0
2013-11-19,0.0,78.0
2013-11-08,-1.0,90.0
2013-11-07,-1.0,90.0
2013-10-31,0.0,85.0
2013-10-26,1.0,66.0
2013-08-15,0.0,80.0
2013-08-10,-1.0,50.0
2013-08-02,0.0,50.0
2013-07-25,-1.0,100.0
2013-05-07,-0.5,90.0
2013-04-07,0.0,100.0
2012-09-22,-0.5,100.0
