Date,Article Sentiment,Impact Score
2016-12-12,-0.033,75.0
2016-12-11,0.088,77.0
2016-12-10,0.147,75.0
2016-12-09,0.147,75.0
2016-12-08,0.082,75.0
2016-12-07,0.067,76.0
2016-12-06,0.074,75.0
2016-12-05,0.301,77.0
2016-12-04,0.185,80.0
2016-12-03,0.265,74.0
2016-12-02,0.121,76.0
2016-12-01,0.093,76.0
2016-11-30,0.116,75.0
2016-11-29,0.156,76.0
2016-11-28,0.143,76.0
2016-11-27,0.137,76.0
2016-11-26,0.038,76.0
2016-11-25,-0.056,77.0
2016-11-24,0.025,75.0
2016-11-23,0.039,75.0
2016-11-22,0.076,76.0
2016-11-21,0.047,78.0
2016-11-20,0.067,76.0
2016-11-19,0.104,80.0
2016-11-18,0.193,83.0
2016-11-17,0.097,77.0
2016-11-16,0.093,77.0
2016-11-15,0.053,75.0
2016-11-14,0.076,77.0
2016-11-13,-0.085,75.0
2016-11-12,0.052,74.0
2016-11-11,0.151,75.0
2016-11-10,0.19,77.0
2016-11-09,0.151,77.0
2016-11-08,0.145,77.0
2016-11-07,0.025,76.0
2016-11-06,0.017,76.0
2016-11-05,0.065,75.0
2016-11-04,0.111,75.0
2016-11-03,0.26,76.0
2016-11-02,0.087,76.0
2016-11-01,0.111,76.0
2016-10-31,0.142,76.0
2016-10-30,0.123,78.0
2016-10-29,0.095,77.0
2016-10-28,-0.086,77.0
2016-10-27,0.046,78.0
2016-10-26,0.218,75.0
2016-10-25,0.162,78.0
2016-10-24,-0.039,80.0
2016-10-23,0.003,85.0
2016-10-22,-0.03,85.0
2016-10-21,-0.02,78.0
2016-10-20,0.006,77.0
2016-10-19,0.114,78.0
2016-10-18,0.134,77.0
2016-10-17,0.04,78.0
2016-10-16,0.092,74.0
2016-10-15,0.084,75.0
2016-10-14,0.01,75.0
2016-10-13,0.065,76.0
2016-10-12,0.087,76.0
2016-10-11,0.076,77.0
2016-10-10,0.056,79.0
2016-10-09,0.038,77.0
2016-10-08,0.014,76.0
2016-10-07,0.143,75.0
2016-10-06,0.149,75.0
2016-10-05,0.2,77.0
2016-10-04,0.128,77.0
2016-10-03,-0.009,79.0
2016-10-02,-0.039,79.0
2016-10-01,-0.013,77.0
2016-09-30,0.131,77.0
2016-09-29,0.234,76.0
2016-09-28,0.094,76.0
2016-09-27,-0.038,77.0
2016-09-26,0.161,77.0
2016-09-25,0.073,77.0
2016-09-24,0.069,76.0
2016-09-23,0.099,76.0
2016-09-22,0.077,76.0
2016-09-21,0.091,77.0
2016-09-20,0.179,75.0
2016-09-19,-0.078,78.0
2016-09-18,-0.225,81.0
2016-09-17,-0.216,82.0
2016-09-16,0.09,76.0
2016-09-15,0.037,74.0
2016-09-14,-0.008,75.0
2016-09-13,0.114,77.0
2016-09-12,0.012,76.0
2016-09-11,-0.044,76.0
2016-09-10,-0.167,76.0
2016-09-09,-0.045,78.0
2016-09-08,-0.024,78.0
2016-09-07,0.048,77.0
2016-09-06,-0.07,77.0
2016-09-05,-0.134,78.0
2016-09-04,0.121,79.0
2016-09-03,0.08,75.0
