Date,Article Sentiment,Impact Score
2016-12-12,0.109,78.0
2016-12-11,0.311,71.0
2016-12-10,0.21,67.0
2016-12-09,0.063,73.0
2016-12-08,0.176,77.0
2016-12-07,0.153,75.0
2016-12-06,0.134,73.0
2016-12-05,0.266,76.0
2016-12-04,0.314,70.0
2016-12-03,0.138,75.0
2016-12-02,0.105,71.0
2016-12-01,0.235,75.0
2016-11-30,0.21,72.0
2016-11-29,0.149,75.0
2016-11-28,0.7,77.0
2016-11-27,0.183,75.0
2016-11-26,0.34,77.0
2016-11-25,0.18,70.0
2016-11-24,-0.027,75.0
2016-11-23,-0.169,75.0
2016-11-22,0.26,78.0
2016-11-21,0.329,76.0
2016-11-20,0.276,73.0
2016-11-19,0.112,72.0
2016-11-18,0.136,72.0
2016-11-17,0.209,76.0
2016-11-16,0.182,80.0
2016-11-15,0.259,77.0
2016-11-14,0.136,83.0
2016-11-13,0.033,76.0
2016-11-12,0.206,76.0
2016-11-11,0.328,74.0
2016-11-10,0.17,72.0
2016-11-09,0.022,70.0
2016-11-08,0.152,79.0
2016-11-07,0.192,74.0
2016-11-06,0.134,77.0
2016-11-05,0.241,73.0
2016-11-04,0.075,74.0
2016-11-03,0.162,71.0
2016-11-02,0.173,76.0
2016-11-01,0.185,76.0
2016-10-31,0.051,74.0
2016-10-30,0.192,55.0
2016-10-29,0.224,81.0
2016-10-28,0.138,54.0
2016-10-27,0.096,78.0
2016-10-26,0.117,78.0
2016-10-25,0.005,73.0
2016-10-24,0.046,80.0
2016-10-23,0.351,72.0
2016-10-22,0.2,74.0
2016-10-21,0.092,74.0
2016-10-20,0.133,77.0
2016-10-19,0.043,78.0
2016-10-18,0.0,80.0
2016-10-17,0.232,80.0
2016-10-16,0.233,73.0
2016-10-15,0.133,80.0
2016-10-14,0.212,79.0
2016-10-13,0.362,70.0
2016-10-12,0.12,74.0
2016-10-11,0.077,76.0
2016-10-10,0.122,78.0
2016-10-09,0.004,76.0
2016-10-08,0.024,66.0
2016-10-07,0.145,73.0
2016-10-06,0.285,74.0
2016-10-05,0.097,75.0
2016-10-04,0.008,71.0
2016-10-03,-0.055,75.0
2016-10-02,0.036,74.0
2016-10-01,0.164,77.0
2016-09-30,0.143,75.0
2016-09-29,0.153,74.0
2016-09-28,0.159,76.0
2016-09-27,0.154,72.0
2016-09-26,0.0,77.0
2016-09-25,0.0,76.0
2016-09-24,0.142,70.0
2016-09-23,0.137,73.0
2016-09-22,-0.044,66.0
2016-09-21,0.026,65.0
2016-09-20,0.158,83.0
2016-09-19,0.11,65.0
2016-09-18,0.16,74.0
2016-09-17,0.139,71.0
2016-09-16,0.216,77.0
2016-09-15,0.156,79.0
2016-09-14,0.07,79.0
2016-09-13,0.014,79.0
2016-09-12,0.237,74.0
2016-09-11,0.064,78.0
2016-09-10,0.28,76.0
2016-09-09,0.202,76.0
2016-09-08,0.201,77.0
2016-09-07,0.178,73.0
2016-09-06,0.08,77.0
2016-09-05,0.28,72.0
2016-09-04,0.126,74.0
2016-09-03,0.206,71.0
2016-09-02,0.073,74.0
2016-09-01,0.188,75.0
2016-08-31,0.165,76.0
2016-08-30,0.161,74.0
2016-08-29,0.201,74.0
2016-08-28,0.043,71.0
2016-08-27,0.281,77.0
2016-08-26,0.189,79.0
2016-08-25,0.243,77.0
2016-08-24,0.14,77.0
2016-08-23,0.097,77.0
2016-08-22,-0.008,78.0
2016-08-21,-0.01,76.0
2016-08-20,0.048,73.0
2016-08-19,0.018,77.0
2016-08-18,0.061,77.0
2016-08-17,0.085,77.0
2016-08-16,0.226,77.0
2016-08-15,0.109,75.0
2016-08-14,0.125,78.0
2016-08-13,0.254,76.0
2016-08-12,0.319,74.0
2016-08-11,0.088,74.0
2016-08-10,0.052,77.0
2016-08-09,0.134,75.0
2016-08-08,-0.39,79.0
2016-08-07,0.153,75.0
2016-08-06,0.102,75.0
2016-08-05,0.027,79.0
2016-08-04,0.008,72.0
2016-08-03,0.132,74.0
2016-08-02,-0.086,77.0
2016-08-01,-0.154,75.0
2016-07-31,-0.15,75.0
2016-07-30,-0.062,76.0
2016-07-29,-0.098,75.0
2016-07-28,0.086,77.0
2016-07-27,0.047,77.0
2016-07-26,0.171,77.0
2016-07-25,0.159,75.0
2016-07-24,0.11,76.0
2016-07-23,0.115,78.0
2016-07-22,0.197,70.0
2016-07-21,0.371,75.0
2016-07-20,0.279,73.0
2016-07-19,0.076,77.0
2016-07-18,-0.016,76.0
2016-07-17,0.076,74.0
2016-07-16,0.028,73.0
2016-07-15,0.114,75.0
2016-07-14,0.194,72.0
2016-07-13,0.305,68.0
2016-07-12,0.042,76.0
2016-07-11,0.188,74.0
2016-07-10,-0.023,78.0
2016-07-09,0.127,74.0
2016-07-08,0.066,77.0
2016-07-07,0.02,74.0
2016-07-06,0.129,76.0
2016-07-05,0.029,75.0
2016-07-04,0.027,74.0
2016-07-03,0.11,75.0
2016-07-02,0.094,73.0
2016-07-01,0.186,59.0
2016-06-30,0.143,77.0
2016-06-29,0.148,72.0
2016-06-28,0.254,78.0
2016-06-27,-0.006,80.0
2016-06-25,0.032,74.0
2016-06-24,0.057,72.0
2016-06-23,0.07,75.0
2016-06-22,0.089,61.0
2016-06-21,0.063,78.0
2016-06-20,-0.026,74.0
2016-06-19,0.093,74.0
2016-06-18,-0.004,75.0
2016-06-17,0.183,72.0
2016-06-16,0.196,75.0
2016-06-15,0.165,77.0
2016-06-14,0.269,68.0
2016-06-13,0.107,80.0
2016-06-12,0.152,71.0
2016-06-11,0.084,75.0
2016-06-10,0.28,76.0
2016-06-09,0.048,75.0
2016-06-08,0.173,72.0
2016-06-07,0.014,76.0
2016-06-06,0.115,82.0
2016-06-05,0.187,73.0
2016-06-04,0.162,75.0
2016-06-03,0.1,73.0
2016-06-02,0.266,76.0
2016-06-01,0.144,77.0
2016-05-31,0.109,70.0
2016-05-30,-0.062,73.0
2016-05-29,-0.01,62.0
2016-05-28,0.181,72.0
2016-05-27,-0.041,74.0
2016-05-26,0.0,73.0
2016-05-25,0.11,73.0
2016-05-24,0.106,72.0
2016-05-23,0.279,72.0
2016-05-22,0.095,70.0
2016-05-21,0.023,78.0
2016-05-20,0.139,70.0
2016-05-19,0.092,77.0
2016-05-18,0.083,76.0
2016-05-17,0.169,75.0
2016-05-16,0.089,77.0
2016-05-15,0.237,76.0
2016-05-14,0.251,76.0
2016-05-13,0.285,76.0
2016-05-12,0.137,74.0
2016-05-11,0.034,75.0
2016-05-10,0.102,75.0
2016-05-09,0.111,79.0
2016-05-08,0.074,78.0
2016-05-07,0.104,78.0
2016-05-06,0.207,77.0
2016-05-05,0.147,70.0
2016-05-04,0.099,77.0
2016-05-03,0.234,79.0
2016-05-02,0.173,73.0
2016-05-01,0.209,72.0
2016-04-30,0.079,74.0
2016-04-29,0.174,74.0
2016-04-28,0.263,75.0
2016-04-27,0.368,69.0
2016-04-26,0.16,81.0
2016-04-25,0.031,76.0
2016-04-24,0.062,76.0
2016-04-23,0.016,77.0
2016-04-22,0.075,82.0
2016-04-21,0.073,79.0
2016-04-20,0.063,78.0
2016-04-19,0.105,76.0
2016-04-18,-0.088,76.0
2016-04-17,0.321,83.0
2016-04-16,0.104,78.0
2016-04-15,0.095,76.0
2016-04-14,0.093,78.0
2016-04-13,0.166,76.0
2016-04-12,0.022,75.0
2016-04-11,0.23,78.0
2016-04-10,0.105,76.0
2016-04-09,0.139,74.0
2016-04-08,0.109,72.0
2016-04-07,0.055,75.0
2016-04-06,0.119,78.0
2016-04-05,0.133,77.0
2016-04-04,-0.056,72.0
2016-04-03,0.007,73.0
2016-04-02,0.089,73.0
2016-04-01,0.147,72.0
2016-03-31,0.126,78.0
2016-03-30,0.257,78.0
2016-03-29,0.339,69.0
2016-03-28,0.339,82.0
2016-03-27,0.268,72.0
2016-03-26,0.082,79.0
2016-03-25,0.288,71.0
2016-03-24,0.075,76.0
2016-03-23,0.237,74.0
2016-03-22,0.183,74.0
2016-03-21,0.165,79.0
2016-03-20,0.293,75.0
2016-03-19,0.178,76.0
2016-03-18,0.062,76.0
2016-03-17,0.151,75.0
2016-03-16,0.112,74.0
2016-03-15,0.136,78.0
2016-03-14,0.0,76.0
2016-03-13,0.023,77.0
2016-03-12,0.092,77.0
2016-03-11,0.183,78.0
2016-03-10,0.126,75.0
2016-03-09,0.063,77.0
2016-03-08,0.14,77.0
2016-03-07,0.101,77.0
2016-03-06,-0.072,75.0
2016-03-05,0.304,72.0
2016-03-04,0.149,71.0
2016-03-03,0.177,75.0
2016-03-02,0.149,71.0
2016-03-01,0.194,79.0
2016-02-29,0.133,78.0
2016-02-28,0.19,83.0
2016-02-27,0.218,77.0
2016-02-26,0.062,77.0
2016-02-25,0.119,79.0
2016-02-24,0.082,76.0
2016-02-23,0.182,76.0
2016-02-22,0.091,77.0
2016-02-21,0.166,76.0
2016-02-20,0.233,77.0
2016-02-18,0.28,76.0
2016-02-16,-0.025,79.0
2016-02-15,0.029,78.0
2016-02-14,0.153,76.0
2016-02-13,0.069,74.0
2016-02-12,0.055,78.0
2016-02-11,0.168,73.0
2016-02-10,0.213,71.0
2016-02-09,0.098,75.0
2016-02-08,0.204,77.0
2016-02-07,0.186,72.0
2016-02-06,0.088,62.0
2016-02-05,0.036,62.0
2016-02-04,0.236,74.0
2016-02-03,0.012,73.0
2016-02-02,0.192,67.0
2016-02-01,-0.178,77.0
2016-01-31,0.064,75.0
2016-01-30,0.277,80.0
2016-01-29,0.304,66.0
2016-01-28,0.168,78.0
2016-01-27,0.168,77.0
2016-01-26,-0.032,73.0
2016-01-25,0.289,77.0
2016-01-24,0.096,80.0
2016-01-23,0.03,74.0
2016-01-22,0.037,73.0
2016-01-21,0.076,72.0
2016-01-20,0.199,75.0
2016-01-19,0.151,78.0
2016-01-18,0.052,76.0
2016-01-17,-0.012,72.0
2016-01-16,0.034,76.0
2016-01-15,0.02,79.0
2016-01-14,0.163,76.0
2016-01-13,0.038,74.0
2016-01-12,0.087,71.0
2016-01-11,0.128,80.0
2016-01-10,0.31,75.0
2016-01-09,0.235,72.0
2016-01-08,0.269,76.0
2016-01-07,0.195,77.0
2016-01-06,0.214,77.0
2016-01-05,0.226,73.0
2016-01-04,0.087,77.0
2016-01-03,-0.102,78.0
2016-01-02,0.0,73.0
2016-01-01,0.011,77.0
2015-12-31,0.062,75.0
2015-12-30,0.085,76.0
2015-12-29,-0.205,73.0
2015-12-28,0.248,72.0
2015-12-27,0.181,79.0
2015-12-26,-0.093,80.0
2015-12-25,0.048,80.0
2015-12-24,0.019,79.0
2015-12-23,0.218,74.0
2015-12-22,0.034,74.0
2015-12-21,0.273,70.0
2015-12-20,0.545,87.0
2015-12-19,0.014,77.0
2015-12-18,0.041,80.0
2015-12-17,0.197,78.0
2015-12-16,-0.08,78.0
2015-12-15,0.25,80.0
2015-12-14,0.073,34.0
2015-12-13,0.0,35.0
2015-12-12,0.147,31.0
2015-12-11,0.246,34.0
2015-12-10,0.237,34.0
2015-12-09,0.058,32.0
2015-12-08,0.222,38.0
2015-12-07,0.126,79.0
2015-12-06,0.471,75.0
2015-12-05,0.159,75.0
2015-12-04,0.154,77.0
2015-12-03,0.355,72.0
2015-12-02,0.084,64.0
2015-12-01,0.0,79.0
2015-11-30,0.221,68.0
2015-11-29,0.041,72.0
2015-11-28,0.195,76.0
2015-11-27,0.015,73.0
2015-11-26,0.032,69.0
2015-11-25,0.008,74.0
2015-11-24,0.035,70.0
2015-11-23,0.011,75.0
2015-11-22,0.024,77.0
2015-11-21,0.145,74.0
2015-11-20,0.17,73.0
2015-11-19,0.21,72.0
2015-11-18,0.226,77.0
2015-11-17,0.249,74.0
