Date,Article Sentiment,Impact Score
2016-12-12,0.623,85.0
2016-12-11,0.435,75.0
2016-12-10,0.63,85.0
2016-12-09,0.216,80.0
2016-12-08,0.465,78.0
2016-12-07,0.392,85.0
2016-12-06,0.412,92.0
2016-12-05,0.602,85.0
2016-12-04,0.537,85.0
2016-12-03,0.56,100.0
2016-12-02,0.63,100.0
2016-12-01,0.56,70.0
2016-11-30,0.56,85.0
2016-11-27,0.439,74.0
2016-11-25,0.407,91.0
2016-11-24,0.56,100.0
2016-11-19,0.56,87.0
2016-11-17,0.392,78.0
2016-11-16,0.448,73.0
2016-11-15,0.181,55.0
2016-11-14,0.564,70.0
2016-11-13,0.574,78.0
2016-11-12,0.431,71.0
2016-11-11,0.436,72.0
2016-11-10,0.403,73.0
2016-11-09,0.402,71.0
2016-11-08,0.513,77.0
2016-11-06,0.519,91.0
2016-11-05,0.395,86.0
2016-11-04,0.477,83.0
2016-11-02,0.56,92.0
2016-11-01,0.519,87.0
2016-10-31,0.56,85.0
2016-10-29,0.56,84.0
2016-10-28,0.623,85.0
2016-10-27,0.477,70.0
2016-10-26,0.519,89.0
2016-10-25,0.56,75.0
2016-10-24,0.56,83.0
2016-10-23,0.113,87.0
2016-10-22,0.56,83.0
2016-10-21,0.484,83.0
2016-10-20,0.56,75.0
2016-10-19,0.28,85.0
2016-10-18,0.05,85.0
2016-10-17,0.56,87.0
2016-10-16,0.623,85.0
2016-10-15,0.623,85.0
2016-10-14,0.56,70.0
2016-10-11,0.435,78.0
2016-10-09,0.592,80.0
2016-10-08,0.353,69.0
2016-10-06,0.4,80.0
2016-10-05,0.393,70.0
2016-10-04,0.602,85.0
2016-10-03,0.393,70.0
2016-10-02,0.105,70.0
2016-10-01,0.542,92.0
2016-09-30,0.449,77.0
2016-09-28,0.56,85.0
2016-09-27,0.56,76.0
2016-09-26,0.077,0.0
2016-09-24,0.354,91.0
2016-09-22,0.338,75.0
2016-09-21,0.481,100.0
2016-09-19,0.56,85.0
2016-09-17,0.592,76.0
2016-09-16,0.428,70.0
2016-09-15,0.56,93.0
2016-09-14,0.429,86.0
2016-09-12,0.435,75.0
2016-09-11,0.31,70.0
2016-09-10,0.31,70.0
2016-09-09,0.63,100.0
2016-09-08,0.392,92.0
2016-09-07,0.479,75.0
2016-09-06,0.427,83.0
2016-09-04,0.171,75.0
2016-09-03,0.223,75.0
2016-09-02,0.56,75.0
2016-09-01,0.332,81.0
2016-08-31,0.518,80.0
2016-08-30,0.477,70.0
2016-08-29,0.393,74.0
2016-08-27,0.435,70.0
2016-08-26,0.435,72.0
2016-08-25,0.564,70.0
2016-08-24,0.505,73.0
2016-08-23,0.435,100.0
2016-08-20,0.516,85.0
2016-08-19,0.51,75.0
2016-08-16,0.4,83.0
2016-08-15,0.365,70.0
2016-08-13,0.602,85.0
2016-08-12,0.454,76.0
2016-08-11,0.54,80.0
2016-08-09,0.477,82.0
2016-08-08,0.477,71.0
2016-08-07,0.452,80.0
2016-08-06,0.498,75.0
2016-08-05,0.498,79.0
2016-08-04,0.452,86.0
2016-08-03,0.348,81.0
2016-08-02,0.435,70.0
2016-07-30,0.11,83.0
2016-07-29,0.519,68.0
2016-07-27,0.179,75.0
2016-07-26,0.477,70.0
2016-07-23,0.56,87.0
2016-07-22,0.532,73.0
2016-07-21,0.532,83.0
2016-07-20,0.445,75.0
2016-07-19,0.435,83.0
2016-07-15,0.498,70.0
2016-07-14,0.498,72.0
2016-07-13,0.546,85.0
2016-07-12,0.519,76.0
2016-07-10,0.31,70.0
2016-07-09,0.31,70.0
2016-07-08,0.393,75.0
2016-07-07,0.56,87.0
2016-07-06,0.393,70.0
2016-07-05,0.382,77.0
2016-07-03,0.56,70.0
2016-07-02,0.389,50.0
2016-07-01,0.28,75.0
2016-06-29,0.505,70.0
2016-06-28,0.135,87.0
2016-06-25,0.391,83.0
2016-06-24,0.449,90.0
2016-06-23,0.505,87.0
2016-06-22,0.401,81.0
2016-06-21,0.321,41.0
2016-06-19,0.393,70.0
2016-06-18,0.393,72.0
2016-06-17,0.623,85.0
2016-06-16,0.56,100.0
2016-06-15,0.592,92.0
2016-06-14,0.56,82.0
2016-06-11,0.507,76.0
2016-06-10,0.512,83.0
2016-06-09,0.323,76.0
2016-06-08,0.454,88.0
2016-06-07,0.333,85.0
2016-06-06,0.529,82.0
2016-06-05,0.498,78.0
2016-06-04,0.518,81.0
2016-06-03,0.531,97.0
2016-06-02,0.56,87.0
2016-06-01,0.222,85.0
2016-05-30,0.171,83.0
2016-05-29,0.35,81.0
2016-05-28,0.502,86.0
2016-05-27,0.341,85.0
2016-05-26,0.335,85.0
2016-05-25,0.56,100.0
2016-05-24,0.5,95.0
2016-05-23,0.329,70.0
2016-05-22,0.205,70.0
2016-05-21,0.336,86.0
2016-05-20,0.592,77.0
2016-05-19,0.477,73.0
2016-05-18,0.334,78.0
2016-05-17,0.562,77.0
2016-05-15,0.56,85.0
2016-05-14,0.354,74.0
2016-05-13,0.514,83.0
2016-05-12,0.45,81.0
2016-05-11,0.438,76.0
2016-05-10,0.416,76.0
2016-05-09,0.403,75.0
2016-05-08,0.435,75.0
2016-05-07,0.46,76.0
2016-05-06,0.384,78.0
2016-05-05,0.364,80.0
2016-05-04,0.505,79.0
2016-05-03,0.426,88.0
2016-05-01,0.435,75.0
2016-04-30,0.44,80.0
2016-04-29,0.274,60.0
2016-04-28,0.39,80.0
2016-04-27,0.56,85.0
2016-04-26,0.254,84.0
2016-04-24,0.235,85.0
2016-04-23,0.515,86.0
2016-04-22,0.581,85.0
2016-04-21,0.205,70.0
2016-04-20,0.583,83.0
2016-04-19,0.512,67.0
2016-04-16,0.545,96.0
2016-04-15,0.529,80.0
2016-04-14,0.598,93.0
2016-04-13,0.338,65.0
2016-04-12,0.088,33.0
2016-04-11,0.463,75.0
2016-04-10,0.32,72.0
2016-04-09,0.457,82.0
2016-04-08,0.302,84.0
2016-04-07,0.352,80.0
2016-04-06,0.343,78.0
2016-04-05,0.51,84.0
2016-04-04,0.457,75.0
2016-04-03,0.0,85.0
2016-04-02,0.421,65.0
2016-04-01,0.343,50.0
2016-03-31,0.512,77.0
2016-03-30,0.331,78.0
2016-03-29,0.526,86.0
2016-03-27,0.358,73.0
2016-03-26,0.383,73.0
2016-03-25,0.429,80.0
2016-03-24,0.303,72.0
2016-03-23,0.287,87.0
2016-03-22,0.1,83.0
2016-03-21,0.435,75.0
2016-03-20,-0.115,100.0
2016-03-19,0.316,80.0
2016-03-18,0.503,76.0
2016-03-17,0.509,85.0
2016-03-16,0.297,66.0
2016-03-15,0.539,81.0
2016-03-14,0.393,70.0
2016-03-13,0.397,77.0
2016-03-12,0.362,87.0
2016-03-11,0.467,78.0
2016-03-10,0.371,81.0
2016-03-09,0.414,87.0
2016-03-08,0.476,88.0
2016-03-07,-0.145,85.0
2016-03-05,0.559,78.0
2016-03-04,0.536,81.0
2016-03-03,0.469,85.0
2016-03-02,0.519,86.0
2016-03-01,0.415,92.0
