Date,Article Sentiment,Impact Score
2016-12-12,-0.088,77.0
2016-12-11,0.056,76.0
2016-12-10,0.106,75.0
2016-12-09,0.198,77.0
2016-12-08,0.019,79.0
2016-12-07,-0.051,79.0
2016-12-06,0.482,80.0
2016-12-05,0.101,76.0
2016-12-04,-0.117,80.0
2016-12-03,0.051,76.0
2016-12-02,-0.084,69.0
2016-12-01,0.347,77.0
2016-11-30,-0.073,78.0
2016-11-29,0.094,77.0
2016-11-28,0.248,77.0
2016-11-27,0.123,78.0
2016-11-26,0.243,78.0
2016-11-25,-0.185,78.0
2016-11-24,0.03,79.0
2016-11-23,0.269,76.0
2016-11-22,0.098,75.0
2016-11-21,0.295,72.0
2016-11-20,0.285,78.0
2016-11-19,0.261,75.0
2016-11-18,0.097,76.0
2016-11-17,0.124,76.0
2016-11-16,0.112,77.0
2016-11-15,-0.044,75.0
2016-11-14,-0.039,71.0
2016-11-13,0.242,74.0
2016-11-12,0.117,75.0
2016-11-11,0.181,76.0
2016-11-10,0.206,75.0
2016-11-09,0.228,74.0
2016-11-08,0.142,77.0
2016-11-07,0.233,75.0
2016-11-06,0.279,70.0
2016-11-05,0.206,74.0
2016-11-04,0.243,68.0
2016-11-03,0.286,71.0
2016-11-02,0.207,76.0
2016-11-01,0.253,78.0
2016-10-31,0.091,76.0
2016-10-30,0.055,74.0
2016-10-29,0.098,77.0
2016-10-28,0.119,77.0
2016-10-27,0.07,76.0
2016-10-26,0.235,78.0
2016-10-25,0.232,75.0
2016-10-24,0.226,77.0
2016-10-23,0.205,73.0
2016-10-22,0.271,77.0
2016-10-21,0.12,77.0
2016-10-20,0.135,75.0
2016-10-19,0.099,75.0
2016-10-18,-0.007,77.0
2016-10-17,0.155,78.0
2016-10-16,0.104,76.0
2016-10-15,0.27,78.0
2016-10-14,0.041,77.0
2016-10-13,0.129,74.0
2016-10-12,0.169,72.0
2016-10-11,0.06,75.0
2016-10-10,0.181,77.0
2016-10-09,0.098,77.0
2016-10-08,0.098,79.0
2016-10-07,0.101,78.0
2016-10-06,0.209,77.0
2016-10-05,0.184,78.0
2016-10-04,0.271,75.0
2016-10-03,0.081,77.0
2016-10-02,0.077,77.0
2016-10-01,0.054,78.0
2016-09-30,0.233,79.0
2016-09-29,0.359,80.0
2016-09-28,0.032,75.0
2016-09-27,0.042,75.0
2016-09-26,0.187,64.0
2016-09-25,-0.102,75.0
2016-09-24,-0.025,71.0
2016-09-23,0.146,74.0
2016-09-22,0.064,76.0
2016-09-21,-0.013,72.0
2016-09-20,-0.166,70.0
2016-09-19,0.044,75.0
2016-09-18,-0.004,77.0
2016-09-17,0.142,78.0
2016-09-16,0.005,77.0
2016-09-15,0.015,76.0
2016-09-14,0.214,77.0
2016-09-13,0.383,78.0
2016-09-12,0.369,77.0
2016-09-11,0.239,75.0
2016-09-10,0.051,77.0
2016-09-09,0.078,77.0
2016-09-08,-0.045,78.0
2016-09-07,0.031,74.0
2016-09-06,0.26,80.0
2016-09-05,0.218,78.0
2016-09-04,0.043,79.0
2016-09-03,0.151,75.0
2016-09-02,0.142,74.0
2016-09-01,0.334,76.0
2016-08-31,0.018,66.0
2016-08-30,0.037,72.0
2016-08-27,0.058,60.0
2016-08-26,0.346,70.0
2016-08-25,0.028,77.0
2016-08-24,0.111,76.0
2016-08-23,0.097,77.0
2016-08-21,0.059,78.0
2016-08-20,0.271,85.0
2016-08-19,0.189,75.0
2016-08-18,0.162,74.0
2016-08-17,0.068,75.0
2016-08-16,0.132,74.0
2016-08-15,0.31,74.0
2016-08-14,0.0,77.0
2016-08-13,-0.077,77.0
2016-08-12,0.091,75.0
2016-08-11,0.111,74.0
2016-08-10,0.282,77.0
2016-08-09,0.153,75.0
2016-08-08,-0.02,76.0
2016-08-07,0.213,77.0
2016-08-06,0.45,79.0
2016-08-05,-0.011,74.0
2016-08-04,-0.063,76.0
2016-08-03,0.126,75.0
2016-08-02,0.124,76.0
2016-08-01,0.182,73.0
2016-07-31,0.096,78.0
2016-07-30,0.13,76.0
2016-07-29,0.044,78.0
2016-07-28,0.14,74.0
2016-07-27,0.278,76.0
2016-07-26,0.261,75.0
2016-07-25,0.249,76.0
2016-07-24,0.283,76.0
2016-07-23,0.187,77.0
2016-07-22,0.168,75.0
2016-07-21,0.239,75.0
2016-07-20,0.207,76.0
2016-07-19,0.275,77.0
2016-07-18,0.102,77.0
2016-07-17,0.036,75.0
2016-07-16,0.056,78.0
2016-07-15,0.072,78.0
2016-07-14,0.081,78.0
2016-07-13,-0.026,78.0
2016-07-12,0.035,76.0
2016-07-11,0.031,77.0
2016-07-10,-0.043,77.0
2016-07-09,0.0,78.0
2016-07-08,0.105,75.0
2016-07-07,-0.002,77.0
2016-07-06,-0.128,78.0
2016-07-05,0.0,77.0
2016-07-04,-0.055,75.0
2016-07-03,0.26,81.0
2016-07-02,0.048,76.0
2016-07-01,0.252,76.0
2016-06-30,0.184,76.0
2016-06-29,0.114,76.0
2016-06-28,0.054,71.0
2016-06-27,0.254,75.0
2016-06-26,0.234,73.0
2016-06-25,0.146,76.0
2016-06-24,0.114,77.0
2016-06-23,0.12,75.0
2016-06-22,0.141,76.0
2016-06-21,0.245,75.0
2016-06-20,0.03,75.0
2016-06-19,0.115,75.0
2016-06-18,0.022,77.0
2016-06-17,-0.059,77.0
2016-06-16,0.114,78.0
2016-06-15,0.256,79.0
2016-06-14,0.063,77.0
2016-06-13,-0.217,73.0
2016-06-12,0.022,74.0
2016-06-11,-0.087,76.0
2016-06-10,0.139,76.0
2016-06-09,0.15,77.0
2016-06-08,0.129,77.0
2016-06-07,0.165,74.0
2016-06-06,0.087,73.0
2016-06-05,-0.007,78.0
2016-06-04,-0.019,78.0
2016-06-03,-0.062,76.0
2016-06-02,0.108,78.0
2016-06-01,0.093,79.0
2016-05-31,0.044,82.0
2016-05-30,0.115,72.0
2016-05-29,0.002,77.0
2016-05-28,0.084,78.0
2016-05-27,0.009,83.0
2016-05-26,0.078,77.0
2016-05-25,0.214,80.0
2016-05-24,0.089,76.0
2016-05-23,0.048,77.0
2016-05-22,0.048,79.0
2016-05-21,0.131,78.0
2016-05-20,0.201,74.0
2016-05-19,0.223,77.0
2016-05-18,0.056,77.0
2016-05-17,0.005,76.0
2016-05-16,-0.036,76.0
2016-05-15,0.218,75.0
2016-05-14,0.346,77.0
2016-05-13,0.334,76.0
2016-05-12,0.357,72.0
2016-05-11,0.107,76.0
2016-05-10,0.284,79.0
2016-05-09,0.063,75.0
2016-05-08,0.175,77.0
2016-05-07,0.005,75.0
2016-05-06,-0.125,75.0
2016-05-05,-0.024,75.0
2016-05-04,0.074,77.0
2016-05-03,0.212,77.0
2016-05-02,0.089,78.0
2016-05-01,0.192,79.0
2016-04-30,-0.005,75.0
2016-04-29,0.063,76.0
2016-04-28,0.111,78.0
2016-04-27,0.248,77.0
2016-04-26,0.085,78.0
2016-04-25,0.14,78.0
2016-04-24,0.103,76.0
2016-04-23,0.044,78.0
2016-04-22,0.198,71.0
2016-04-21,0.198,78.0
2016-04-20,0.097,76.0
2016-04-19,0.303,77.0
2016-04-18,0.018,77.0
2016-04-17,0.277,79.0
2016-04-16,0.229,77.0
2016-04-15,0.065,77.0
2016-04-14,0.071,77.0
2016-04-13,0.07,77.0
2016-04-12,0.083,78.0
2016-04-11,0.254,75.0
2016-04-10,0.236,76.0
2016-04-09,0.219,76.0
2016-04-08,0.248,77.0
2016-04-07,0.059,79.0
2016-04-06,0.096,77.0
2016-04-05,0.167,76.0
2016-04-04,0.225,76.0
2016-04-03,0.075,77.0
2016-04-02,0.224,76.0
2016-04-01,0.315,77.0
2016-03-31,0.286,76.0
2016-03-30,0.253,77.0
2016-03-29,0.325,76.0
2016-03-28,0.137,76.0
2016-03-27,0.375,75.0
2016-03-26,0.175,76.0
2016-03-25,0.155,75.0
2016-03-24,0.1,77.0
2016-03-23,0.068,78.0
2016-03-22,0.151,76.0
2016-03-21,0.194,77.0
2016-03-20,0.189,79.0
2016-03-19,0.128,75.0
2016-03-18,0.178,78.0
2016-03-17,0.269,78.0
2016-03-16,0.272,76.0
2016-03-15,0.346,77.0
2016-03-14,0.119,77.0
2016-03-13,0.125,77.0
2016-03-12,0.077,76.0
2016-03-11,0.103,74.0
2016-03-10,0.153,75.0
2016-03-09,0.143,75.0
2016-03-08,0.241,77.0
2016-03-07,0.066,78.0
2016-03-06,0.189,77.0
2016-03-05,0.213,79.0
2016-03-04,0.106,78.0
2016-03-03,-0.135,77.0
2016-03-02,-0.166,78.0
2016-03-01,0.016,75.0
2016-02-29,0.219,77.0
2016-02-28,0.261,79.0
2016-02-27,0.112,76.0
2016-02-26,0.057,74.0
2016-02-25,0.328,77.0
2016-02-24,0.246,77.0
2016-02-23,-0.114,73.0
2016-02-22,-0.038,76.0
2016-02-21,0.076,76.0
2016-02-15,0.121,77.0
2016-02-14,0.154,76.0
2016-02-02,0.095,77.0
2016-02-01,0.237,75.0
2016-01-31,0.116,76.0
2016-01-30,0.172,76.0
2016-01-29,0.138,75.0
2016-01-28,0.035,78.0
2016-01-27,-0.004,77.0
2016-01-26,0.141,76.0
2016-01-25,0.347,77.0
2016-01-24,0.097,74.0
2016-01-23,0.213,73.0
2016-01-22,0.08,73.0
2016-01-21,0.031,74.0
2016-01-20,0.037,75.0
2016-01-19,0.088,80.0
2016-01-18,0.238,77.0
2016-01-17,0.089,76.0
2016-01-16,0.271,76.0
2016-01-15,0.154,78.0
2016-01-14,0.098,75.0
2016-01-13,0.061,75.0
2016-01-12,0.175,75.0
2016-01-11,0.17,76.0
2016-01-10,-0.036,76.0
2016-01-09,0.213,76.0
2016-01-08,0.339,73.0
2016-01-07,0.212,76.0
2016-01-06,0.094,73.0
2016-01-05,0.051,71.0
2016-01-04,0.126,76.0
2016-01-03,0.087,77.0
2016-01-02,0.077,75.0
2016-01-01,0.118,76.0
2015-12-31,0.198,77.0
2015-12-30,0.133,76.0
2015-12-29,-0.008,76.0
2015-12-28,-0.004,75.0
2015-12-27,0.159,75.0
2015-12-26,0.155,79.0
2015-12-25,0.118,77.0
2015-12-24,0.194,74.0
2015-12-23,0.511,71.0
2015-12-22,0.091,76.0
2015-12-21,0.133,78.0
2015-12-20,0.125,79.0
2015-12-19,0.166,78.0
2015-12-18,0.108,76.0
2015-12-17,0.093,76.0
2015-12-16,0.018,76.0
2015-12-15,0.191,66.0
2015-12-14,0.145,46.0
2015-12-13,0.077,45.0
2015-12-12,0.156,46.0
2015-12-11,0.017,45.0
2015-12-10,-0.043,47.0
2015-12-09,-0.044,47.0
2015-12-07,0.029,79.0
2015-12-06,-0.009,78.0
2015-12-05,0.035,79.0
2015-12-04,0.065,76.0
2015-12-03,0.223,75.0
2015-12-02,0.137,76.0
2015-12-01,0.099,75.0
2015-11-30,0.17,79.0
2015-11-29,0.223,73.0
2015-11-28,0.066,76.0
2015-11-27,0.128,76.0
2015-11-26,0.184,75.0
2015-11-25,0.197,77.0
2015-11-24,0.085,78.0
2015-11-23,0.033,78.0
2015-11-22,0.036,78.0
2015-11-21,0.067,78.0
2015-11-20,0.131,74.0
2015-11-19,0.147,76.0
